67 1657 9388
A B C D E F G H I J K L 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
A 0,0 1,0 2,0 3,0
A 0,1 1,1 2,1 3,1
A 0,2 1,2 2,2 3,2
A 0,3 1,3 2,3 3,3
A 0,4 1,4 2,4 3,4
A 1,0 2,0 3,0 4,0
A 1,1 2,1 3,1 4,1
A 1,2 2,2 3,2 4,2
A 1,3 2,3 3,3 4,3
A 1,4 2,4 3,4 4,4
A 2,0 3,0 4,0 5,0
A 2,1 3,1 4,1 5,1
A 2,2 3,2 4,2 5,2
A 2,3 3,3 4,3 5,3
A 2,4 3,4 4,4 5,4
A 3,0 4,0 5,0 6,0
A 3,1 4,1 5,1 6,1
A 3,2 4,2 5,2 6,2
A 3,3 4,3 5,3 6,3
A 3,4 4,4 5,4 6,4
A 4,0 5,0 6,0 7,0
A 4,1 5,1 6,1 7,1
A 4,2 5,2 6,2 7,2
A 4,3 5,3 6,3 7,3
A 4,4 5,4 6,4 7,4
A 5,0 6,0 7,0 8,0
A 5,1 6,1 7,1 8,1
A 5,2 6,2 7,2 8,2
A 5,3 6,3 7,3 8,3
A 5,4 6,4 7,4 8,4
A 6,0 7,0 8,0 9,0
A 6,1 7,1 8,1 9,1
A 6,2 7,2 8,2 9,2
A 6,3 7,3 8,3 9,3
A 6,4 7,4 8,4 9,4
A 7,0 8,0 9,0 10,0
A 7,1 8,1 9,1 10,1
A 7,2 8,2 9,2 10,2
A 7,3 8,3 9,3 10,3
A 7,4 8,4 9,4 10,4
A 0,0 0,1 0,2 0,3
A 0,1 0,2 0,3 0,4
A 1,0 1,1 1,2 1,3
A 1,1 1,2 1,3 1,4
A 2,0 2,1 2,2 2,3
A 2,1 2,2 2,3 2,4
A 3,0 3,1 3,2 3,3
A 3,1 3,2 3,3 3,4
A 4,0 4,1 4,2 4,3
A 4,1 4,2 4,3 4,4
A 5,0 5,1 5,2 5,3
A 5,1 5,2 5,3 5,4
A 6,0 6,1 6,2 6,3
A 6,1 6,2 6,3 6,4
A 7,0 7,1 7,2 7,3
A 7,1 7,2 7,3 7,4
A 8,0 8,1 8,2 8,3
A 8,1 8,2 8,3 8,4
A 9,0 9,1 9,2 9,3
A 9,1 9,2 9,3 9,4
A 10,0 10,1 10,2 10,3
A 10,1 10,2 10,3 10,4
I 3,2 2,2 2,1
I 3,3 2,3 2,2
I 3,4 2,4 2,3
I 4,1 3,1 3,0
I 4,2 3,2 3,1
I 4,3 3,3 3,2
I 4,4 3,4 3,3
I 5,1 4,1 4,0
I 5,2 4,2 4,1
I 5,3 4,3 4,2
I 5,4 4,4 4,3
I 6,1 5,1 5,0
I 6,2 5,2 5,1
I 6,3 5,3 5,2
I 6,4 5,4 5,3
I 7,1 6,1 6,0
I 7,2 6,2 6,1
I 7,3 6,3 6,2
I 7,4 6,4 6,3
I 8,1 7,1 7,0
I 8,2 7,2 7,1
I 8,3 7,3 7,2
I 8,4 7,4 7,3
I 9,1 8,1 8,0
I 9,2 8,2 8,1
I 9,3 8,3 8,2
I 9,4 8,4 8,3
I 10,1 9,1 9,0
I 10,2 9,2 9,1
I 10,3 9,3 9,2
I 10,4 9,4 9,3
I 0,1 0,0 1,0
I 0,2 0,1 1,1
I 0,3 0,2 1,2
I 0,4 0,3 1,3
I 1,1 1,0 2,0
I 1,2 1,1 2,1
I 1,3 1,2 2,2
I 1,4 1,3 2,3
I 2,1 2,0 3,0
I 2,2 2,1 3,1
I 2,3 2,2 3,2
I 2,4 2,3 3,3
I 3,1 3,0 4,0
I 3,2 3,1 4,1
I 3,3 3,2 4,2
I 3,4 3,3 4,3
I 4,1 4,0 5,0
I 4,2 4,1 5,1
I 4,3 4,2 5,2
I 4,4 4,3 5,3
I 5,1 5,0 6,0
I 5,2 5,1 6,1
I 5,3 5,2 6,2
I 5,4 5,3 6,3
I 6,1 6,0 7,0
I 6,2 6,1 7,1
I 6,3 6,2 7,2
I 6,4 6,3 7,3
I 7,1 7,0 8,0
I 7,2 7,1 8,1
I 7,3 7,2 8,2
I 7,4 7,3 8,3
I 8,1 8,0 9,0
I 8,2 8,1 9,1
I 8,3 8,2 9,2
I 8,4 8,3 9,3
I 9,1 9,0 10,0
I 9,2 9,1 10,1
I 9,3 9,2 10,2
I 9,4 9,3 10,3
J 0,0 1,0 0,1 1,1
J 0,1 1,1 0,2 1,2
J 0,2 1,2 0,3 1,3
J 0,3 1,3 0,4 1,4
J 1,0 2,0 1,1 2,1
J 1,1 2,1 1,2 2,2
J 1,2 2,2 1,3 2,3
J 1,3 2,3 1,4 2,4
J 2,0 3,0 2,1 3,1
J 2,1 3,1 2,2 3,2
J 2,2 3,2 2,3 3,3
J 2,3 3,3 2,4 3,4
J 3,0 4,0 3,1 4,1
J 3,1 4,1 3,2 4,2
J 3,2 4,2 3,3 4,3
J 3,3 4,3 3,4 4,4
J 4,0 5,0 4,1 5,1
J 4,1 5,1 4,2 5,2
J 4,2 5,2 4,3 5,3
J 4,3 5,3 4,4 5,4
J 5,0 6,0 5,1 6,1
J 5,1 6,1 5,2 6,2
J 5,2 6,2 5,3 6,3
J 5,3 6,3 5,4 6,4
J 6,0 7,0 6,1 7,1
J 6,1 7,1 6,2 7,2
J 6,2 7,2 6,3 7,3
J 6,3 7,3 6,4 7,4
J 7,0 8,0 7,1 8,1
J 7,1 8,1 7,2 8,2
J 7,2 8,2 7,3 8,3
J 7,3 8,3 7,4 8,4
J 8,0 9,0 8,1 9,1
J 8,1 9,1 8,2 9,2
J 8,2 9,2 8,3 9,3
J 8,3 9,3 8,4 9,4
J 9,0 10,0 9,1 10,1
J 9,1 10,1 9,2 10,2
J 9,2 10,2 9,3 10,3
J 9,3 10,3 9,4 10,4
K 0,0 1,0 2,0 0,1 2,1
K 0,1 1,1 2,1 0,2 2,2
K 0,2 1,2 2,2 0,3 2,3
K 0,3 1,3 2,3 0,4 2,4
K 1,0 2,0 3,0 1,1 3,1
K 1,1 2,1 3,1 1,2 3,2
K 1,2 2,2 3,2 1,3 3,3
K 1,3 2,3 3,3 1,4 3,4
K 2,0 3,0 4,0 2,1 4,1
K 2,1 3,1 4,1 2,2 4,2
K 2,2 3,2 4,2 2,3 4,3
K 2,3 3,3 4,3 2,4 4,4
K 3,0 4,0 5,0 3,1 5,1
K 3,1 4,1 5,1 3,2 5,2
K 3,2 4,2 5,2 3,3 5,3
K 3,3 4,3 5,3 3,4 5,4
K 4,0 5,0 6,0 4,1 6,1
K 4,1 5,1 6,1 4,2 6,2
K 4,2 5,2 6,2 4,3 6,3
K 4,3 5,3 6,3 4,4 6,4
K 5,0 6,0 7,0 5,1 7,1
K 5,1 6,1 7,1 5,2 7,2
K 5,2 6,2 7,2 5,3 7,3
K 5,3 6,3 7,3 5,4 7,4
K 6,0 7,0 8,0 6,1 8,1
K 6,1 7,1 8,1 6,2 8,2
K 6,2 7,2 8,2 6,3 8,3
K 6,3 7,3 8,3 6,4 8,4
K 7,0 8,0 9,0 7,1 9,1
K 7,1 8,1 9,1 7,2 9,2
K 7,2 8,2 9,2 7,3 9,3
K 7,3 8,3 9,3 7,4 9,4
K 8,0 9,0 10,0 8,1 10,1
K 8,1 9,1 10,1 8,2 10,2
K 8,2 9,2 10,2 8,3 10,3
K 8,3 9,3 10,3 8,4 10,4
K 1,0 1,1 1,2 0,0 0,2
K 1,1 1,2 1,3 0,1 0,3
K 1,2 1,3 1,4 0,2 0,4
K 2,0 2,1 2,2 1,0 1,2
K 2,1 2,2 2,3 1,1 1,3
K 2,2 2,3 2,4 1,2 1,4
K 3,0 3,1 3,2 2,0 2,2
K 3,1 3,2 3,3 2,1 2,3
K 3,2 3,3 3,4 2,2 2,4
K 4,0 4,1 4,2 3,0 3,2
K 4,1 4,2 4,3 3,1 3,3
K 4,2 4,3 4,4 3,2 3,4
K 5,0 5,1 5,2 4,0 4,2
K 5,1 5,2 5,3 4,1 4,3
K 5,2 5,3 5,4 4,2 4,4
K 6,0 6,1 6,2 5,0 5,2
K 6,1 6,2 6,3 5,1 5,3
K 6,2 6,3 6,4 5,2 5,4
K 7,0 7,1 7,2 6,0 6,2
K 7,1 7,2 7,3 6,1 6,3
K 7,2 7,3 7,4 6,2 6,4
K 8,0 8,1 8,2 7,0 7,2
K 8,1 8,2 8,3 7,1 7,3
K 8,2 8,3 8,4 7,2 7,4
K 9,0 9,1 9,2 8,0 8,2
K 9,1 9,2 9,3 8,1 8,3
K 9,2 9,3 9,4 8,2 8,4
K 10,0 10,1 10,2 9,0 9,2
K 10,1 10,2 10,3 9,1 9,3
K 10,2 10,3 10,4 9,2 9,4
K 2,1 1,1 0,1 2,0 0,0
K 2,2 1,2 0,2 2,1 0,1
K 2,3 1,3 0,3 2,2 0,2
K 2,4 1,4 0,4 2,3 0,3
K 3,1 2,1 1,1 3,0 1,0
K 3,2 2,2 1,2 3,1 1,1
K 3,3 2,3 1,3 3,2 1,2
K 3,4 2,4 1,4 3,3 1,3
K 4,1 3,1 2,1 4,0 2,0
K 4,2 3,2 2,2 4,1 2,1
K 4,3 3,3 2,3 4,2 2,2
K 4,4 3,4 2,4 4,3 2,3
K 5,1 4,1 3,1 5,0 3,0
K 5,2 4,2 3,2 5,1 3,1
K 5,3 4,3 3,3 5,2 3,2
K 5,4 4,4 3,4 5,3 3,3
K 6,1 5,1 4,1 6,0 4,0
K 6,2 5,2 4,2 6,1 4,1
K 6,3 5,3 4,3 6,2 4,2
K 6,4 5,4 4,4 6,3 4,3
K 7,1 6,1 5,1 7,0 5,0
K 7,2 6,2 5,2 7,1 5,1
K 7,3 6,3 5,3 7,2 5,2
K 7,4 6,4 5,4 7,3 5,3
K 8,1 7,1 6,1 8,0 6,0
K 8,2 7,2 6,2 8,1 6,1
K 8,3 7,3 6,3 8,2 6,2
K 8,4 7,4 6,4 8,3 6,3
K 9,1 8,1 7,1 9,0 7,0
K 9,2 8,2 7,2 9,1 7,1
K 9,3 8,3 7,3 9,2 7,2
K 9,4 8,4 7,4 9,3 7,3
K 10,1 9,1 8,1 10,0 8,0
K 10,2 9,2 8,2 10,1 8,1
K 10,3 9,3 8,3 10,2 8,2
K 10,4 9,4 8,4 10,3 8,3
K 0,2 0,1 0,0 1,2 1,0
K 0,3 0,2 0,1 1,3 1,1
K 0,4 0,3 0,2 1,4 1,2
K 1,2 1,1 1,0 2,2 2,0
K 1,3 1,2 1,1 2,3 2,1
K 1,4 1,3 1,2 2,4 2,2
K 2,2 2,1 2,0 3,2 3,0
K 2,3 2,2 2,1 3,3 3,1
K 2,4 2,3 2,2 3,4 3,2
K 3,2 3,1 3,0 4,2 4,0
K 3,3 3,2 3,1 4,3 4,1
K 3,4 3,3 3,2 4,4 4,2
K 4,2 4,1 4,0 5,2 5,0
K 4,3 4,2 4,1 5,3 5,1
K 4,4 4,3 4,2 5,4 5,2
K 5,2 5,1 5,0 6,2 6,0
K 5,3 5,2 5,1 6,3 6,1
K 5,4 5,3 5,2 6,4 6,2
K 6,2 6,1 6,0 7,2 7,0
K 6,3 6,2 6,1 7,3 7,1
K 6,4 6,3 6,2 7,4 7,2
K 7,2 7,1 7,0 8,2 8,0
K 7,3 7,2 7,1 8,3 8,1
K 7,4 7,3 7,2 8,4 8,2
K 8,2 8,1 8,0 9,2 9,0
K 8,3 8,2 8,1 9,3 9,1
K 8,4 8,3 8,2 9,4 9,2
K 9,2 9,1 9,0 10,2 10,0
K 9,3 9,2 9,1 10,3 10,1
K 9,4 9,3 9,2 10,4 10,2
L 0,0 1,0 2,0 3,0 2,1
L 0,1 1,1 2,1 3,1 2,2
L 0,2 1,2 2,2 3,2 2,3
L 0,3 1,3 2,3 3,3 2,4
L 1,0 2,0 3,0 4,0 3,1
L 1,1 2,1 3,1 4,1 3,2
L 1,2 2,2 3,2 4,2 3,3
L 1,3 2,3 3,3 4,3 3,4
L 2,0 3,0 4,0 5,0 4,1
L 2,1 3,1 4,1 5,1 4,2
L 2,2 3,2 4,2 5,2 4,3
L 2,3 3,3 4,3 5,3 4,4
L 3,0 4,0 5,0 6,0 5,1
L 3,1 4,1 5,1 6,1 5,2
L 3,2 4,2 5,2 6,2 5,3
L 3,3 4,3 5,3 6,3 5,4
L 4,0 5,0 6,0 7,0 6,1
L 4,1 5,1 6,1 7,1 6,2
L 4,2 5,2 6,2 7,2 6,3
L 4,3 5,3 6,3 7,3 6,4
L 5,0 6,0 7,0 8,0 7,1
L 5,1 6,1 7,1 8,1 7,2
L 5,2 6,2 7,2 8,2 7,3
L 5,3 6,3 7,3 8,3 7,4
L 6,0 7,0 8,0 9,0 8,1
L 6,1 7,1 8,1 9,1 8,2
L 6,2 7,2 8,2 9,2 8,3
L 6,3 7,3 8,3 9,3 8,4
L 7,0 8,0 9,0 10,0 9,1
L 7,1 8,1 9,1 10,1 9,2
L 7,2 8,2 9,2 10,2 9,3
L 7,3 8,3 9,3 10,3 9,4
L 0,1 1,1 2,1 3,1 2,0
L 0,2 1,2 2,2 3,2 2,1
L 0,3 1,3 2,3 3,3 2,2
L 0,4 1,4 2,4 3,4 2,3
L 1,1 2,1 3,1 4,1 3,0
L 1,2 2,2 3,2 4,2 3,1
L 1,3 2,3 3,3 4,3 3,2
L 1,4 2,4 3,4 4,4 3,3
L 2,1 3,1 4,1 5,1 4,0
L 2,2 3,2 4,2 5,2 4,1
L 2,3 3,3 4,3 5,3 4,2
L 2,4 3,4 4,4 5,4 4,3
L 3,1 4,1 5,1 6,1 5,0
L 3,2 4,2 5,2 6,2 5,1
L 3,3 4,3 5,3 6,3 5,2
L 3,4 4,4 5,4 6,4 5,3
L 4,1 5,1 6,1 7,1 6,0
L 4,2 5,2 6,2 7,2 6,1
L 4,3 5,3 6,3 7,3 6,2
L 4,4 5,4 6,4 7,4 6,3
L 5,1 6,1 7,1 8,1 7,0
L 5,2 6,2 7,2 8,2 7,1
L 5,3 6,3 7,3 8,3 7,2
L 5,4 6,4 7,4 8,4 7,3
L 6,1 7,1 8,1 9,1 8,0
L 6,2 7,2 8,2 9,2 8,1
L 6,3 7,3 8,3 9,3 8,2
L 6,4 7,4 8,4 9,4 8,3
L 7,1 8,1 9,1 10,1 9,0
L 7,2 8,2 9,2 10,2 9,1
L 7,3 8,3 9,3 10,3 9,2
L 7,4 8,4 9,4 10,4 9,3
L 1,0 1,1 1,2 1,3 0,2
L 1,1 1,2 1,3 1,4 0,3
L 2,0 2,1 2,2 2,3 1,2
L 2,1 2,2 2,3 2,4 1,3
L 3,0 3,1 3,2 3,3 2,2
L 3,1 3,2 3,3 3,4 2,3
L 4,0 4,1 4,2 4,3 3,2
L 4,1 4,2 4,3 4,4 3,3
L 5,0 5,1 5,2 5,3 4,2
L 5,1 5,2 5,3 5,4 4,3
L 6,0 6,1 6,2 6,3 5,2
L 6,1 6,2 6,3 6,4 5,3
L 7,0 7,1 7,2 7,3 6,2
L 7,1 7,2 7,3 7,4 6,3
L 8,0 8,1 8,2 8,3 7,2
L 8,1 8,2 8,3 8,4 7,3
L 9,0 9,1 9,2 9,3 8,2
L 9,1 9,2 9,3 9,4 8,3
L 10,0 10,1 10,2 10,3 9,2
L 10,1 10,2 10,3 10,4 9,3
L 0,0 0,1 0,2 0,3 1,2
L 0,1 0,2 0,3 0,4 1,3
L 1,0 1,1 1,2 1,3 2,2
L 1,1 1,2 1,3 1,4 2,3
L 2,0 2,1 2,2 2,3 3,2
L 2,1 2,2 2,3 2,4 3,3
L 3,0 3,1 3,2 3,3 4,2
L 3,1 3,2 3,3 3,4 4,3
L 4,0 4,1 4,2 4,3 5,2
L 4,1 4,2 4,3 4,4 5,3
L 5,0 5,1 5,2 5,3 6,2
L 5,1 5,2 5,3 5,4 6,3
L 6,0 6,1 6,2 6,3 7,2
L 6,1 6,2 6,3 6,4 7,3
L 7,0 7,1 7,2 7,3 8,2
L 7,1 7,2 7,3 7,4 8,3
L 8,0 8,1 8,2 8,3 9,2
L 8,1 8,2 8,3 8,4 9,3
L 9,0 9,1 9,2 9,3 10,2
L 9,1 9,2 9,3 9,4 10,3
L 3,1 2,1 1,1 0,1 1,0
L 3,2 2,2 1,2 0,2 1,1
L 3,3 2,3 1,3 0,3 1,2
L 3,4 2,4 1,4 0,4 1,3
L 4,1 3,1 2,1 1,1 2,0
L 4,2 3,2 2,2 1,2 2,1
L 4,3 3,3 2,3 1,3 2,2
L 4,4 3,4 2,4 1,4 2,3
L 5,1 4,1 3,1 2,1 3,0
L 5,2 4,2 3,2 2,2 3,1
L 5,3 4,3 3,3 2,3 3,2
L 5,4 4,4 3,4 2,4 3,3
L 6,1 5,1 4,1 3,1 4,0
L 6,2 5,2 4,2 3,2 4,1
L 6,3 5,3 4,3 3,3 4,2
L 6,4 5,4 4,4 3,4 4,3
L 7,1 6,1 5,1 4,1 5,0
L 7,2 6,2 5,2 4,2 5,1
L 7,3 6,3 5,3 4,3 5,2
L 7,4 6,4 5,4 4,4 5,3
L 8,1 7,1 6,1 5,1 6,0
L 8,2 7,2 6,2 5,2 6,1
L 8,3 7,3 6,3 5,3 6,2
L 8,4 7,4 6,4 5,4 6,3
L 9,1 8,1 7,1 6,1 7,0
L 9,2 8,2 7,2 6,2 7,1
L 9,3 8,3 7,3 6,3 7,2
L 9,4 8,4 7,4 6,4 7,3
L 10,1 9,1 8,1 7,1 8,0
L 10,2 9,2 8,2 7,2 8,1
L 10,3 9,3 8,3 7,3 8,2
L 10,4 9,4 8,4 7,4 8,3
L 3,0 2,0 1,0 0,0 1,1
L 3,1 2,1 1,1 0,1 1,2
L 3,2 2,2 1,2 0,2 1,3
L 3,3 2,3 1,3 0,3 1,4
L 4,0 3,0 2,0 1,0 2,1
L 4,1 3,1 2,1 1,1 2,2
L 4,2 3,2 2,2 1,2 2,3
L 4,3 3,3 2,3 1,3 2,4
L 5,0 4,0 3,0 2,0 3,1
L 5,1 4,1 3,1 2,1 3,2
L 5,2 4,2 3,2 2,2 3,3
L 5,3 4,3 3,3 2,3 3,4
L 6,0 5,0 4,0 3,0 4,1
L 6,1 5,1 4,1 3,1 4,2
L 6,2 5,2 4,2 3,2 4,3
L 6,3 5,3 4,3 3,3 4,4
L 7,0 6,0 5,0 4,0 5,1
L 7,1 6,1 5,1 4,1 5,2
L 7,2 6,2 5,2 4,2 5,3
L 7,3 6,3 5,3 4,3 5,4
L 8,0 7,0 6,0 5,0 6,1
L 8,1 7,1 6,1 5,1 6,2
L 8,2 7,2 6,2 5,2 6,3
L 8,3 7,3 6,3 5,3 6,4
L 9,0 8,0 7,0 6,0 7,1
L 9,1 8,1 7,1 6,1 7,2
L 9,2 8,2 7,2 6,2 7,3
L 9,3 8,3 7,3 6,3 7,4
L 10,0 9,0 8,0 7,0 8,1
L 10,1 9,1 8,1 7,1 8,2
L 10,2 9,2 8,2 7,2 8,3
L 10,3 9,3 8,3 7,3 8,4
L 0,3 0,2 0,1 0,0 1,1
L 0,4 0,3 0,2 0,1 1,2
L 1,3 1,2 1,1 1,0 2,1
L 1,4 1,3 1,2 1,1 2,2
L 2,3 2,2 2,1 2,0 3,1
L 2,4 2,3 2,2 2,1 3,2
L 3,3 3,2 3,1 3,0 4,1
L 3,4 3,3 3,2 3,1 4,2
L 4,3 4,2 4,1 4,0 5,1
L 4,4 4,3 4,2 4,1 5,2
L 5,3 5,2 5,1 5,0 6,1
L 5,4 5,3 5,2 5,1 6,2
L 6,3 6,2 6,1 6,0 7,1
L 6,4 6,3 6,2 6,1 7,2
L 7,3 7,2 7,1 7,0 8,1
L 7,4 7,3 7,2 7,1 8,2
L 8,3 8,2 8,1 8,0 9,1
L 8,4 8,3 8,2 8,1 9,2
L 9,3 9,2 9,1 9,0 10,1
L 9,4 9,3 9,2 9,1 10,2
L 1,3 1,2 1,1 1,0 0,1
L 1,4 1,3 1,2 1,1 0,2
L 2,3 2,2 2,1 2,0 1,1
L 2,4 2,3 2,2 2,1 1,2
L 3,3 3,2 3,1 3,0 2,1
L 3,4 3,3 3,2 3,1 2,2
L 4,3 4,2 4,1 4,0 3,1
L 4,4 4,3 4,2 4,1 3,2
L 5,3 5,2 5,1 5,0 4,1
L 5,4 5,3 5,2 5,1 4,2
L 6,3 6,2 6,1 6,0 5,1
L 6,4 6,3 6,2 6,1 5,2
L 7,3 7,2 7,1 7,0 6,1
L 7,4 7,3 7,2 7,1 6,2
L 8,3 8,2 8,1 8,0 7,1
L 8,4 8,3 8,2 8,1 7,2
L 9,3 9,2 9,1 9,0 8,1
L 9,4 9,3 9,2 9,1 8,2
L 10,3 10,2 10,1 10,0 9,1
L 10,4 10,3 10,2 10,1 9,2
