67 1657 9388
w0 w1 w2 w3 w4 w5 w6 w7 w8 w9 w10 w11 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
w0 0,0 1,0 2,0 3,0
w0 0,1 1,1 2,1 3,1
w0 0,2 1,2 2,2 3,2
w0 0,3 1,3 2,3 3,3
w0 0,4 1,4 2,4 3,4
w0 1,0 2,0 3,0 4,0
w0 1,1 2,1 3,1 4,1
w0 1,2 2,2 3,2 4,2
w0 1,3 2,3 3,3 4,3
w0 1,4 2,4 3,4 4,4
w0 2,0 3,0 4,0 5,0
w0 2,1 3,1 4,1 5,1
w0 2,2 3,2 4,2 5,2
w0 2,3 3,3 4,3 5,3
w0 2,4 3,4 4,4 5,4
w0 3,0 4,0 5,0 6,0
w0 3,1 4,1 5,1 6,1
w0 3,2 4,2 5,2 6,2
w0 3,3 4,3 5,3 6,3
w0 3,4 4,4 5,4 6,4
w0 4,0 5,0 6,0 7,0
w0 4,1 5,1 6,1 7,1
w0 4,2 5,2 6,2 7,2
w0 4,3 5,3 6,3 7,3
w0 4,4 5,4 6,4 7,4
w0 5,0 6,0 7,0 8,0
w0 5,1 6,1 7,1 8,1
w0 5,2 6,2 7,2 8,2
w0 5,3 6,3 7,3 8,3
w0 5,4 6,4 7,4 8,4
w0 6,0 7,0 8,0 9,0
w0 6,1 7,1 8,1 9,1
w0 6,2 7,2 8,2 9,2
w0 6,3 7,3 8,3 9,3
w0 6,4 7,4 8,4 9,4
w0 7,0 8,0 9,0 10,0
w0 7,1 8,1 9,1 10,1
w0 7,2 8,2 9,2 10,2
w0 7,3 8,3 9,3 10,3
w0 7,4 8,4 9,4 10,4
w0 0,0 0,1 0,2 0,3
w0 0,1 0,2 0,3 0,4
w0 1,0 1,1 1,2 1,3
w0 1,1 1,2 1,3 1,4
w0 2,0 2,1 2,2 2,3
w0 2,1 2,2 2,3 2,4
w0 3,0 3,1 3,2 3,3
w0 3,1 3,2 3,3 3,4
w0 4,0 4,1 4,2 4,3
w0 4,1 4,2 4,3 4,4
w0 5,0 5,1 5,2 5,3
w0 5,1 5,2 5,3 5,4
w0 6,0 6,1 6,2 6,3
w0 6,1 6,2 6,3 6,4
w0 7,0 7,1 7,2 7,3
w0 7,1 7,2 7,3 7,4
w0 8,0 8,1 8,2 8,3
w0 8,1 8,2 8,3 8,4
w0 9,0 9,1 9,2 9,3
w0 9,1 9,2 9,3 9,4
w0 10,0 10,1 10,2 10,3
w0 10,1 10,2 10,3 10,4
w7 9,4 9,3 9,2 8,2 8,1
w7 10,3 10,2 10,1 9,1 9,0
w7 10,4 10,3 10,2 9,2 9,1
w8 0,0 1,0 1,1
w8 0,1 1,1 1,2
w8 0,2 1,2 1,3
w8 0,3 1,3 1,4
w8 1,0 2,0 2,1
w8 1,1 2,1 2,2
w8 1,2 2,2 2,3
w8 1,3 2,3 2,4
w8 2,0 3,0 3,1
w8 2,1 3,1 3,2
w8 2,2 3,2 3,3
w8 2,3 3,3 3,4
w8 3,0 4,0 4,1
w8 3,1 4,1 4,2
w8 3,2 4,2 4,3
w8 3,3 4,3 4,4
w8 4,0 5,0 5,1
w8 4,1 5,1 5,2
w8 4,2 5,2 5,3
w8 4,3 5,3 5,4
w8 5,0 6,0 6,1
w8 5,1 6,1 6,2
w8 5,2 6,2 6,3
w8 5,3 6,3 6,4
w8 6,0 7,0 7,1
w8 6,1 7,1 7,2
w8 6,2 7,2 7,3
w8 6,3 7,3 7,4
w8 7,0 8,0 8,1
w8 7,1 8,1 8,2
w8 7,2 8,2 8,3
w8 7,3 8,3 8,4
w8 8,0 9,0 9,1
w8 8,1 9,1 9,2
w8 8,2 9,2 9,3
w8 8,3 9,3 9,4
w8 9,0 10,0 10,1
w8 9,1 10,1 10,2
w8 9,2 10,2 10,3
w8 9,3 10,3 10,4
w8 1,0 1,1 0,1
w8 1,1 1,2 0,2
w8 1,2 1,3 0,3
w8 1,3 1,4 0,4
w8 2,0 2,1 1,1
w8 2,1 2,2 1,2
w8 2,2 2,3 1,3
w8 2,3 2,4 1,4
w8 3,0 3,1 2,1
w8 3,1 3,2 2,2
w8 3,2 3,3 2,3
w8 3,3 3,4 2,4
w8 4,0 4,1 3,1
w8 4,1 4,2 3,2
w8 4,2 4,3 3,3
w8 4,3 4,4 3,4
w8 5,0 5,1 4,1
w8 5,1 5,2 4,2
w8 5,2 5,3 4,3
w8 5,3 5,4 4,4
w8 6,0 6,1 5,1
w8 6,1 6,2 5,2
w8 6,2 6,3 5,3
w8 6,3 6,4 5,4
w8 7,0 7,1 6,1
w8 7,1 7,2 6,2
w8 7,2 7,3 6,3
w8 7,3 7,4 6,4
w8 8,0 8,1 7,1
w8 8,1 8,2 7,2
w8 8,2 8,3 7,3
w8 8,3 8,4 7,4
w8 9,0 9,1 8,1
w8 9,1 9,2 8,2
w8 9,2 9,3 8,3
w8 9,3 9,4 8,4
w8 10,0 10,1 9,1
w8 10,1 10,2 9,2
w8 10,2 10,3 9,3
w8 10,3 10,4 9,4
w8 1,1 0,1 0,0
w8 1,2 0,2 0,1
w8 1,3 0,3 0,2
w8 1,4 0,4 0,3
w8 2,1 1,1 1,0
w8 2,2 1,2 1,1
w8 2,3 1,3 1,2
w8 2,4 1,4 1,3
w8 3,1 2,1 2,0
w8 3,2 2,2 2,1
w8 3,3 2,3 2,2
w8 3,4 2,4 2,3
w8 4,1 3,1 3,0
w8 4,2 3,2 3,1
w8 4,3 3,3 3,2
w8 4,4 3,4 3,3
w8 5,1 4,1 4,0
w8 5,2 4,2 4,1
w8 5,3 4,3 4,2
w8 5,4 4,4 4,3
w8 6,1 5,1 5,0
w8 6,2 5,2 5,1
w8 6,3 5,3 5,2
w8 6,4 5,4 5,3
w8 7,1 6,1 6,0
w8 7,2 6,2 6,1
w8 7,3 6,3 6,2
w8 7,4 6,4 6,3
w8 8,1 7,1 7,0
w8 8,2 7,2 7,1
w8 8,3 7,3 7,2
w8 8,4 7,4 7,3
w8 9,1 8,1 8,0
w8 9,2 8,2 8,1
w8 9,3 8,3 8,2
w8 9,4 8,4 8,3
w8 10,1 9,1 9,0
w8 10,2 9,2 9,1
w8 10,3 9,3 9,2
w8 10,4 9,4 9,3
w8 0,1 0,0 1,0
w8 0,2 0,1 1,1
w8 0,3 0,2 1,2
w8 0,4 0,3 1,3
w8 1,1 1,0 2,0
w8 1,2 1,1 2,1
w8 1,3 1,2 2,2
w8 1,4 1,3 2,3
w8 2,1 2,0 3,0
w8 2,2 2,1 3,1
w8 2,3 2,2 3,2
w8 2,4 2,3 3,3
w8 3,1 3,0 4,0
w8 3,2 3,1 4,1
w8 3,3 3,2 4,2
w8 3,4 3,3 4,3
w8 4,1 4,0 5,0
w8 4,2 4,1 5,1
w8 4,3 4,2 5,2
w8 4,4 4,3 5,3
w8 5,1 5,0 6,0
w8 5,2 5,1 6,1
w8 5,3 5,2 6,2
w8 5,4 5,3 6,3
w8 6,1 6,0 7,0
w8 6,2 6,1 7,1
w8 6,3 6,2 7,2
w8 6,4 6,3 7,3
w8 7,1 7,0 8,0
w8 7,2 7,1 8,1
w8 7,3 7,2 8,2
w8 7,4 7,3 8,3
w8 8,1 8,0 9,0
w8 8,2 8,1 9,1
w8 8,3 8,2 9,2
w8 8,4 8,3 9,3
w8 9,1 9,0 10,0
w8 9,2 9,1 10,1
w8 9,3 9,2 10,2
w8 9,4 9,3 10,3
w9 0,0 1,0 0,1 1,1
w9 0,1 1,1 0,2 1,2
w9 0,2 1,2 0,3 1,3
w9 0,3 1,3 0,4 1,4
w9 1,0 2,0 1,1 2,1
w9 1,1 2,1 1,2 2,2
w9 1,2 2,2 1,3 2,3
w9 1,3 2,3 1,4 2,4
w9 2,0 3,0 2,1 3,1
w9 2,1 3,1 2,2 3,2
w9 2,2 3,2 2,3 3,3
w9 2,3 3,3 2,4 3,4
w9 3,0 4,0 3,1 4,1
w9 3,1 4,1 3,2 4,2
w9 3,2 4,2 3,3 4,3
w9 3,3 4,3 3,4 4,4
w9 4,0 5,0 4,1 5,1
w9 4,1 5,1 4,2 5,2
w9 4,2 5,2 4,3 5,3
w9 4,3 5,3 4,4 5,4
w9 5,0 6,0 5,1 6,1
w9 5,1 6,1 5,2 6,2
w9 5,2 6,2 5,3 6,3
w9 5,3 6,3 5,4 6,4
w9 6,0 7,0 6,1 7,1
w9 6,1 7,1 6,2 7,2
w9 6,2 7,2 6,3 7,3
w9 6,3 7,3 6,4 7,4
w9 7,0 8,0 7,1 8,1
w9 7,1 8,1 7,2 8,2
w9 7,2 8,2 7,3 8,3
w9 7,3 8,3 7,4 8,4
w9 8,0 9,0 8,1 9,1
w9 8,1 9,1 8,2 9,2
w9 8,2 9,2 8,3 9,3
w9 8,3 9,3 8,4 9,4
w9 9,0 10,0 9,1 10,1
w9 9,1 10,1 9,2 10,2
w9 9,2 10,2 9,3 10,3
w9 9,3 10,3 9,4 10,4
w10 0,0 1,0 2,0 0,1 2,1
w10 0,1 1,1 2,1 0,2 2,2
w10 0,2 1,2 2,2 0,3 2,3
w10 0,3 1,3 2,3 0,4 2,4
w10 1,0 2,0 3,0 1,1 3,1
w10 1,1 2,1 3,1 1,2 3,2
w10 1,2 2,2 3,2 1,3 3,3
w10 1,3 2,3 3,3 1,4 3,4
w10 2,0 3,0 4,0 2,1 4,1
w10 2,1 3,1 4,1 2,2 4,2
w10 2,2 3,2 4,2 2,3 4,3
w10 2,3 3,3 4,3 2,4 4,4
w10 3,0 4,0 5,0 3,1 5,1
w10 3,1 4,1 5,1 3,2 5,2
w10 3,2 4,2 5,2 3,3 5,3
w10 3,3 4,3 5,3 3,4 5,4
w10 4,0 5,0 6,0 4,1 6,1
w10 4,1 5,1 6,1 4,2 6,2
w10 4,2 5,2 6,2 4,3 6,3
w10 4,3 5,3 6,3 4,4 6,4
w10 5,0 6,0 7,0 5,1 7,1
w10 5,1 6,1 7,1 5,2 7,2
w10 5,2 6,2 7,2 5,3 7,3
w10 5,3 6,3 7,3 5,4 7,4
w10 6,0 7,0 8,0 6,1 8,1
w10 6,1 7,1 8,1 6,2 8,2
w10 6,2 7,2 8,2 6,3 8,3
w10 6,3 7,3 8,3 6,4 8,4
w10 7,0 8,0 9,0 7,1 9,1
w10 7,1 8,1 9,1 7,2 9,2
w10 7,2 8,2 9,2 7,3 9,3
w10 7,3 8,3 9,3 7,4 9,4
w10 8,0 9,0 10,0 8,1 10,1
w10 8,1 9,1 10,1 8,2 10,2
w10 8,2 9,2 10,2 8,3 10,3
w10 8,3 9,3 10,3 8,4 10,4
w10 1,0 1,1 1,2 0,0 0,2
w10 1,1 1,2 1,3 0,1 0,3
w10 1,2 1,3 1,4 0,2 0,4
w10 2,0 2,1 2,2 1,0 1,2
w10 2,1 2,2 2,3 1,1 1,3
w10 2,2 2,3 2,4 1,2 1,4
w10 3,0 3,1 3,2 2,0 2,2
w10 3,1 3,2 3,3 2,1 2,3
w10 3,2 3,3 3,4 2,2 2,4
w10 4,0 4,1 4,2 3,0 3,2
w10 4,1 4,2 4,3 3,1 3,3
w10 4,2 4,3 4,4 3,2 3,4
w10 5,0 5,1 5,2 4,0 4,2
w10 5,1 5,2 5,3 4,1 4,3
w10 5,2 5,3 5,4 4,2 4,4
w10 6,0 6,1 6,2 5,0 5,2
w10 6,1 6,2 6,3 5,1 5,3
w10 6,2 6,3 6,4 5,2 5,4
w10 7,0 7,1 7,2 6,0 6,2
w10 7,1 7,2 7,3 6,1 6,3
w10 7,2 7,3 7,4 6,2 6,4
w10 8,0 8,1 8,2 7,0 7,2
w10 8,1 8,2 8,3 7,1 7,3
w10 8,2 8,3 8,4 7,2 7,4
w10 9,0 9,1 9,2 8,0 8,2
w10 9,1 9,2 9,3 8,1 8,3
w10 9,2 9,3 9,4 8,2 8,4
w10 10,0 10,1 10,2 9,0 9,2
w10 10,1 10,2 10,3 9,1 9,3
w10 10,2 10,3 10,4 9,2 9,4
w10 2,1 1,1 0,1 2,0 0,0
w10 2,2 1,2 0,2 2,1 0,1
w10 2,3 1,3 0,3 2,2 0,2
w10 2,4 1,4 0,4 2,3 0,3
w10 3,1 2,1 1,1 3,0 1,0
w10 3,2 2,2 1,2 3,1 1,1
w10 3,3 2,3 1,3 3,2 1,2
w10 3,4 2,4 1,4 3,3 1,3
w10 4,1 3,1 2,1 4,0 2,0
w10 4,2 3,2 2,2 4,1 2,1
w10 4,3 3,3 2,3 4,2 2,2
w10 4,4 3,4 2,4 4,3 2,3
w10 5,1 4,1 3,1 5,0 3,0
w10 5,2 4,2 3,2 5,1 3,1
w10 5,3 4,3 3,3 5,2 3,2
w10 5,4 4,4 3,4 5,3 3,3
w10 6,1 5,1 4,1 6,0 4,0
w10 6,2 5,2 4,2 6,1 4,1
w10 6,3 5,3 4,3 6,2 4,2
w10 6,4 5,4 4,4 6,3 4,3
w10 7,1 6,1 5,1 7,0 5,0
w10 7,2 6,2 5,2 7,1 5,1
w10 7,3 6,3 5,3 7,2 5,2
w10 7,4 6,4 5,4 7,3 5,3
w10 8,1 7,1 6,1 8,0 6,0
w10 8,2 7,2 6,2 8,1 6,1
w10 8,3 7,3 6,3 8,2 6,2
w10 8,4 7,4 6,4 8,3 6,3
w10 9,1 8,1 7,1 9,0 7,0
w10 9,2 8,2 7,2 9,1 7,1
w10 9,3 8,3 7,3 9,2 7,2
w10 9,4 8,4 7,4 9,3 7,3
w10 10,1 9,1 8,1 10,0 8,0
w10 10,2 9,2 8,2 10,1 8,1
w10 10,3 9,3 8,3 10,2 8,2
w10 10,4 9,4 8,4 10,3 8,3
w10 0,2 0,1 0,0 1,2 1,0
w10 0,3 0,2 0,1 1,3 1,1
w10 0,4 0,3 0,2 1,4 1,2
w10 1,2 1,1 1,0 2,2 2,0
w10 1,3 1,2 1,1 2,3 2,1
w10 1,4 1,3 1,2 2,4 2,2
w10 2,2 2,1 2,0 3,2 3,0
w10 2,3 2,2 2,1 3,3 3,1
w10 2,4 2,3 2,2 3,4 3,2
w10 3,2 3,1 3,0 4,2 4,0
w10 3,3 3,2 3,1 4,3 4,1
w10 3,4 3,3 3,2 4,4 4,2
w10 4,2 4,1 4,0 5,2 5,0
w10 4,3 4,2 4,1 5,3 5,1
w10 4,4 4,3 4,2 5,4 5,2
w10 5,2 5,1 5,0 6,2 6,0
w10 5,3 5,2 5,1 6,3 6,1
w10 5,4 5,3 5,2 6,4 6,2
w10 6,2 6,1 6,0 7,2 7,0
w10 6,3 6,2 6,1 7,3 7,1
w10 6,4 6,3 6,2 7,4 7,2
w10 7,2 7,1 7,0 8,2 8,0
w10 7,3 7,2 7,1 8,3 8,1
w10 7,4 7,3 7,2 8,4 8,2
w10 8,2 8,1 8,0 9,2 9,0
w10 8,3 8,2 8,1 9,3 9,1
w10 8,4 8,3 8,2 9,4 9,2
w10 9,2 9,1 9,0 10,2 10,0
w10 9,3 9,2 9,1 10,3 10,1
w10 9,4 9,3 9,2 10,4 10,2
w11 0,0 1,0 2,0 3,0 2,1
w11 0,1 1,1 2,1 3,1 2,2
w11 0,2 1,2 2,2 3,2 2,3
w11 0,3 1,3 2,3 3,3 2,4
w11 1,0 2,0 3,0 4,0 3,1
w11 1,1 2,1 3,1 4,1 3,2
w11 1,2 2,2 3,2 4,2 3,3
w11 1,3 2,3 3,3 4,3 3,4
w11 2,0 3,0 4,0 5,0 4,1
w11 2,1 3,1 4,1 5,1 4,2
w11 2,2 3,2 4,2 5,2 4,3
w11 2,3 3,3 4,3 5,3 4,4
w11 3,0 4,0 5,0 6,0 5,1
w11 3,1 4,1 5,1 6,1 5,2
w11 3,2 4,2 5,2 6,2 5,3
w11 3,3 4,3 5,3 6,3 5,4
w11 4,0 5,0 6,0 7,0 6,1
w11 4,1 5,1 6,1 7,1 6,2
w11 4,2 5,2 6,2 7,2 6,3
w11 4,3 5,3 6,3 7,3 6,4
w11 5,0 6,0 7,0 8,0 7,1
w11 5,1 6,1 7,1 8,1 7,2
w11 5,2 6,2 7,2 8,2 7,3
w11 5,3 6,3 7,3 8,3 7,4
w11 6,0 7,0 8,0 9,0 8,1
w11 6,1 7,1 8,1 9,1 8,2
w11 6,2 7,2 8,2 9,2 8,3
w11 6,3 7,3 8,3 9,3 8,4
w11 7,0 8,0 9,0 10,0 9,1
w11 7,1 8,1 9,1 10,1 9,2
w11 7,2 8,2 9,2 10,2 9,3
w11 7,3 8,3 9,3 10,3 9,4
w11 0,1 1,1 2,1 3,1 2,0
w11 0,2 1,2 2,2 3,2 2,1
w11 0,3 1,3 2,3 3,3 2,2
w11 0,4 1,4 2,4 3,4 2,3
w11 1,1 2,1 3,1 4,1 3,0
w11 1,2 2,2 3,2 4,2 3,1
w11 1,3 2,3 3,3 4,3 3,2
w11 1,4 2,4 3,4 4,4 3,3
w11 2,1 3,1 4,1 5,1 4,0
w11 2,2 3,2 4,2 5,2 4,1
w11 2,3 3,3 4,3 5,3 4,2
w11 2,4 3,4 4,4 5,4 4,3
w11 3,1 4,1 5,1 6,1 5,0
w11 3,2 4,2 5,2 6,2 5,1
w11 3,3 4,3 5,3 6,3 5,2
w11 3,4 4,4 5,4 6,4 5,3
w11 4,1 5,1 6,1 7,1 6,0
w11 4,2 5,2 6,2 7,2 6,1
w11 4,3 5,3 6,3 7,3 6,2
w11 4,4 5,4 6,4 7,4 6,3
w11 5,1 6,1 7,1 8,1 7,0
w11 5,2 6,2 7,2 8,2 7,1
w11 5,3 6,3 7,3 8,3 7,2
w11 5,4 6,4 7,4 8,4 7,3
w11 6,1 7,1 8,1 9,1 8,0
w11 6,2 7,2 8,2 9,2 8,1
w11 6,3 7,3 8,3 9,3 8,2
w11 6,4 7,4 8,4 9,4 8,3
w11 7,1 8,1 9,1 10,1 9,0
w11 7,2 8,2 9,2 10,2 9,1
w11 7,3 8,3 9,3 10,3 9,2
w11 7,4 8,4 9,4 10,4 9,3
w11 1,0 1,1 1,2 1,3 0,2
w11 1,1 1,2 1,3 1,4 0,3
w11 2,0 2,1 2,2 2,3 1,2
w11 2,1 2,2 2,3 2,4 1,3
w11 3,0 3,1 3,2 3,3 2,2
w11 3,1 3,2 3,3 3,4 2,3
w11 4,0 4,1 4,2 4,3 3,2
w11 4,1 4,2 4,3 4,4 3,3
w11 5,0 5,1 5,2 5,3 4,2
w11 5,1 5,2 5,3 5,4 4,3
w11 6,0 6,1 6,2 6,3 5,2
w11 6,1 6,2 6,3 6,4 5,3
w11 7,0 7,1 7,2 7,3 6,2
w11 7,1 7,2 7,3 7,4 6,3
w11 8,0 8,1 8,2 8,3 7,2
w11 8,1 8,2 8,3 8,4 7,3
w11 9,0 9,1 9,2 9,3 8,2
w11 9,1 9,2 9,3 9,4 8,3
w11 10,0 10,1 10,2 10,3 9,2
w11 10,1 10,2 10,3 10,4 9,3
w11 0,0 0,1 0,2 0,3 1,2
w11 0,1 0,2 0,3 0,4 1,3
w11 1,0 1,1 1,2 1,3 2,2
w11 1,1 1,2 1,3 1,4 2,3
w11 2,0 2,1 2,2 2,3 3,2
w11 2,1 2,2 2,3 2,4 3,3
w11 3,0 3,1 3,2 3,3 4,2
w11 3,1 3,2 3,3 3,4 4,3
w11 4,0 4,1 4,2 4,3 5,2
w11 4,1 4,2 4,3 4,4 5,3
w11 5,0 5,1 5,2 5,3 6,2
w11 5,1 5,2 5,3 5,4 6,3
w11 6,0 6,1 6,2 6,3 7,2
w11 6,1 6,2 6,3 6,4 7,3
w11 7,0 7,1 7,2 7,3 8,2
w11 7,1 7,2 7,3 7,4 8,3
w11 8,0 8,1 8,2 8,3 9,2
w11 8,1 8,2 8,3 8,4 9,3
w11 9,0 9,1 9,2 9,3 10,2
w11 9,1 9,2 9,3 9,4 10,3
w11 3,1 2,1 1,1 0,1 1,0
w11 3,2 2,2 1,2 0,2 1,1
w11 3,3 2,3 1,3 0,3 1,2
w11 3,4 2,4 1,4 0,4 1,3
w11 4,1 3,1 2,1 1,1 2,0
w11 4,2 3,2 2,2 1,2 2,1
w11 4,3 3,3 2,3 1,3 2,2
w11 4,4 3,4 2,4 1,4 2,3
w11 5,1 4,1 3,1 2,1 3,0
w11 5,2 4,2 3,2 2,2 3,1
w11 5,3 4,3 3,3 2,3 3,2
w11 5,4 4,4 3,4 2,4 3,3
w11 6,1 5,1 4,1 3,1 4,0
w11 6,2 5,2 4,2 3,2 4,1
w11 6,3 5,3 4,3 3,3 4,2
w11 6,4 5,4 4,4 3,4 4,3
w11 7,1 6,1 5,1 4,1 5,0
w11 7,2 6,2 5,2 4,2 5,1
w11 7,3 6,3 5,3 4,3 5,2
w11 7,4 6,4 5,4 4,4 5,3
w11 8,1 7,1 6,1 5,1 6,0
w11 8,2 7,2 6,2 5,2 6,1
w11 8,3 7,3 6,3 5,3 6,2
w11 8,4 7,4 6,4 5,4 6,3
w11 9,1 8,1 7,1 6,1 7,0
w11 9,2 8,2 7,2 6,2 7,1
w11 9,3 8,3 7,3 6,3 7,2
w11 9,4 8,4 7,4 6,4 7,3
w11 10,1 9,1 8,1 7,1 8,0
w11 10,2 9,2 8,2 7,2 8,1
w11 10,3 9,3 8,3 7,3 8,2
w11 10,4 9,4 8,4 7,4 8,3
w11 3,0 2,0 1,0 0,0 1,1
w11 3,1 2,1 1,1 0,1 1,2
w11 3,2 2,2 1,2 0,2 1,3
w11 3,3 2,3 1,3 0,3 1,4
w11 4,0 3,0 2,0 1,0 2,1
w11 4,1 3,1 2,1 1,1 2,2
w11 4,2 3,2 2,2 1,2 2,3
w11 4,3 3,3 2,3 1,3 2,4
w11 5,0 4,0 3,0 2,0 3,1
w11 5,1 4,1 3,1 2,1 3,2
w11 5,2 4,2 3,2 2,2 3,3
w11 5,3 4,3 3,3 2,3 3,4
w11 6,0 5,0 4,0 3,0 4,1
w11 6,1 5,1 4,1 3,1 4,2
w11 6,2 5,2 4,2 3,2 4,3
w11 6,3 5,3 4,3 3,3 4,4
w11 7,0 6,0 5,0 4,0 5,1
w11 7,1 6,1 5,1 4,1 5,2
w11 7,2 6,2 5,2 4,2 5,3
w11 7,3 6,3 5,3 4,3 5,4
w11 8,0 7,0 6,0 5,0 6,1
w11 8,1 7,1 6,1 5,1 6,2
w11 8,2 7,2 6,2 5,2 6,3
w11 8,3 7,3 6,3 5,3 6,4
w11 9,0 8,0 7,0 6,0 7,1
w11 9,1 8,1 7,1 6,1 7,2
w11 9,2 8,2 7,2 6,2 7,3
w11 9,3 8,3 7,3 6,3 7,4
w11 10,0 9,0 8,0 7,0 8,1
w11 10,1 9,1 8,1 7,1 8,2
w11 10,2 9,2 8,2 7,2 8,3
w11 10,3 9,3 8,3 7,3 8,4
w11 0,3 0,2 0,1 0,0 1,1
w11 0,4 0,3 0,2 0,1 1,2
w11 1,3 1,2 1,1 1,0 2,1
w11 1,4 1,3 1,2 1,1 2,2
w11 2,3 2,2 2,1 2,0 3,1
w11 2,4 2,3 2,2 2,1 3,2
w11 3,3 3,2 3,1 3,0 4,1
w11 3,4 3,3 3,2 3,1 4,2
w11 4,3 4,2 4,1 4,0 5,1
w11 4,4 4,3 4,2 4,1 5,2
w11 5,3 5,2 5,1 5,0 6,1
w11 5,4 5,3 5,2 5,1 6,2
w11 6,3 6,2 6,1 6,0 7,1
w11 6,4 6,3 6,2 6,1 7,2
w11 7,3 7,2 7,1 7,0 8,1
w11 7,4 7,3 7,2 7,1 8,2
w11 8,3 8,2 8,1 8,0 9,1
w11 8,4 8,3 8,2 8,1 9,2
w11 9,3 9,2 9,1 9,0 10,1
w11 9,4 9,3 9,2 9,1 10,2
w11 1,3 1,2 1,1 1,0 0,1
w11 1,4 1,3 1,2 1,1 0,2
w11 2,3 2,2 2,1 2,0 1,1
w11 2,4 2,3 2,2 2,1 1,2
w11 3,3 3,2 3,1 3,0 2,1
w11 3,4 3,3 3,2 3,1 2,2
w11 4,3 4,2 4,1 4,0 3,1
w11 4,4 4,3 4,2 4,1 3,2
w11 5,3 5,2 5,1 5,0 4,1
w11 5,4 5,3 5,2 5,1 4,2
w11 6,3 6,2 6,1 6,0 5,1
w11 6,4 6,3 6,2 6,1 5,2
w11 7,3 7,2 7,1 7,0 6,1
w11 7,4 7,3 7,2 7,1 6,2
w11 8,3 8,2 8,1 8,0 7,1
w11 8,4 8,3 8,2 8,1 7,2
w11 9,3 9,2 9,1 9,0 8,1
w11 9,4 9,3 9,2 9,1 8,2
w11 10,3 10,2 10,1 10,0 9,1
w11 10,4 10,3 10,2 10,1 9,2
